"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-09-01","TRATA","Posible captación","No fue derivado a seguimiento","Chaco","22"
"2019-09-01","TRATA","Posible captación","No fue derivado a seguimiento","Mendoza","50"
"2019-09-03","TRATA","Explotación sexual","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-04","TRATA","Explotación sexual","No fue derivado a seguimiento","NS/NC",""
"2019-09-05","TRATA","Explotación laboral N,N y A","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-06","TRATA","Explotación sexual","No fue derivado a seguimiento","Chubut ","26"
"2019-09-06","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivado a seguimiento","Tucumán","90"
"2019-09-07","TRATA","Posible captación","No fue derivado a seguimiento","Corrientes","18"
"2019-09-07","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","NS/NC",""
"2019-09-07","TRATA","Persona desaparecida","No fue derivado a seguimiento","NS/NC",""
"2019-09-08","TRATA","Persona desaparecida","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-09","TRATA","Explotación sexual","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-10","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-10","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Río Negro","62"
"2019-09-12","TRATA","Explotación sexual","No fue derivado a seguimiento","NS/NC",""
"2019-09-12","TRATA","Explotación laboral","No fue derivado a seguimiento","Mendoza","50"
"2019-09-13","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-14","TRATA","Otro","No fue derivado a seguimiento","Florida",""
"2019-09-14","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-16","TRATA","Explotación sexual","No fue derivado a seguimiento","NS/NC",""
"2019-09-16","TRATA","Persona desaparecida","No fue derivado a seguimiento","Cordoba","14"
"2019-09-17","TRATA","Oferta laboral engañosa","No fue derivado a seguimiento","Jujuy","38"
"2019-09-17","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as, CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Río Negro","62"
"2019-09-17","TRATA","Posible captación","No fue derivado a seguimiento","Corrientes","18"
"2019-09-18","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Santa Fe ","82"
"2019-09-18","TRATA","Venta de niños y otros delitos","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-20","TRATA","Explotación sexual","No fue derivado a seguimiento","Catamarca","10"
"2019-09-22","TRATA","Posible captación","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-22","TRATA","Posible captación","No fue derivado a seguimiento","Santa Fe ","82"
"2019-09-22","TRATA","Persona desaparecida","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-22","TRATA","Posible captación","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-22","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-24","VÍCTIMA DE DELITO","CONTRA LA LIBERTAD: Privación de la libertad, amenazas, sustracción de identidad o posible desaparición de persona","No fue derivado a seguimiento","Cordoba","14"
"2019-09-24","TRATA","Posible captación","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-25","TRATA","Explotación sexual","No fue derivado a seguimiento","Tierra del Fuego","94"
"2019-09-26","TRATA","Oferta laboral engañosa","No fue derivado a seguimiento","NS/NC",""
"2019-09-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","NS/NC",""
"2019-09-26","TRATA","Otro","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-26","TRATA","Explotación laboral N,N y A","No fue derivado a seguimiento","Mendoza ","50"
"2019-09-26","TRATA","Explotación laboral","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-26","TRATA","Posible captación","No fue derivado a seguimiento","Tucumán","90"
"2019-09-26","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-27","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Entre Ríos","30"
"2019-09-28","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Buenos Aires","06"
"2019-09-28","TRATA","Explotación laboral, Explotación laboral N,N y A, Explotación sexual","No fue derivado a seguimiento","NS/NC",""
"2019-09-29","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","NS/NC",""
