"orientacion_fecha","orientacion_tema","orientacion_subtema","orientacion_seguimiento","orientacion_provincia","orientacion_provincia_id"
"2019-08-03","TRATA","Explotación sexual","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-03","TRATA","Explotación sexual N,N y A","No fue derivado a seguimiento","Tucumán","90"
"2019-08-04","TRATA","Explotación sexual","No fue derivado a seguimiento","Misiones ","54"
"2019-08-04","TRATA","Explotación laboral","No fue derivado a seguimiento","Santa Cruz ","78"
"2019-08-04","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Mendoza ","50"
"2019-08-06","TRATA","Otro","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-06","TRATA","Otro","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-07","TRATA","Explotación laboral","No fue derivado a seguimiento","NS/Nc",""
"2019-08-08","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Río Negro","62"
"2019-08-09","TRATA","Explotación sexual","No fue derivado a seguimiento","Río Negro","62"
"2019-08-09","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Santiago del Estero","86"
"2019-08-10","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-12","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","Santiago del Estero","86"
"2019-08-12","TRATA","Otro","No fue derivado a seguimiento","Misiones ","54"
"2019-08-12","TRATA","Otro","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-12","VÍCTIMA DE DELITO","CONTRA LA PROPIEDAD: Fraude, estafa , extorsión, usurpación o daños","No fue derivado a seguimiento","Cordoba","14"
"2019-08-12","TRATA","Persona desaparecida","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-12","TRATA","Persona desaparecida","No fue derivado a seguimiento","NS/Nc",""
"2019-08-12","TRATA","Persona desaparecida","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-13","TRATA","Persona desaparecida","No fue derivado a seguimiento","Mendoza ","50"
"2019-08-13","TRATA","Explotación sexual","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-14","TRATA","Otro","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-16","TRATA","Explotación sexual","No fue derivado a seguimiento","NS/Nc",""
"2019-08-18","VÍCTIMA DE DELITO","CONTRA LA INTEGRIDAD SEXUAL: Abuso sexual de adultos/as o niños/as","No fue derivado a seguimiento","Catamarca","10"
"2019-08-20","TRATA","Explotación sexual","No fue derivado a seguimiento","Entre Rios","30"
"2019-08-21","TRATA","Explotación sexual","No fue derivado a seguimiento","NS/Nc",""
"2019-08-21","TRATA","Oferta laboral engañosa","No fue derivado a seguimiento","Salta","66"
"2019-08-22","TRATA","Otro","Seguimiento concluido sin derivación","Buenos Aires","06"
"2019-08-26","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","NS/Nc",""
"2019-08-27","VÍCTIMA DE DELITO","CONTRA LAS PERSONAS : Delitos contra la integridad física, contra la vida, lesiones, abuso de armas o abandono de personas","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-27","VÍCTIMA DE DELITO","Otro (Víctimas de delito)","No fue derivado a seguimiento","NS/Nc",""
"2019-08-29","TRATA","Grooming","No fue derivado a seguimiento","Buenos Aires","06"
"2019-08-29","TRATA","Posible captación","No fue derivado a seguimiento","NS/Nc",""
"2019-08-30","TRATA","Explotación sexual","No fue derivado a seguimiento","NS/Nc",""
"2019-08-31","TRATA","Explotación sexual","No fue derivado a seguimiento","NS/Nc",""
