denuncia_fecha,denuncia_tipo_explotacion,denuncia_via_ingreso,denunciante_tipo_acercamiento,hecho_localidad,hecho_provincia,hecho_pais,hecho_denuncia_previa,derivacion_judicializacion_organismo,derivacion_judicializacion_fecha
2017-01-06,Explotación laboral,Línea 145,Televisión,LOCALIDAD QUILMES,Buenos Aires,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-07
2017-01-07,Explotación sexual,Línea 145,Otros,ROSARIO ,Santa Fe,Argentina,,Área legal (judicializadas),2017-01-07
2017-01-07,Explotación sexual,Línea 145,Televisión,USUAHIA,Tierra del Fuego,Argentina,,Protex,2017-01-16
2017-01-07,Explotación sexual,Línea 145,Otros,ROSARIO,Santa Fe,Argentina,,Protex,2017-01-07
2017-01-07,Desaparición,Línea 145,Otros,FLORENCIO VARELA,Buenos Aires,Argentina,,Protex,2017-01-07
2017-01-07,Desaparición,Correo institucional,Otros,SAN MARTIN ,Buenos Aires,Argentina,,Protex,2017-01-07
2017-01-07,Secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,Caba,Caba,Argentina,,Protex,2017-01-07
2017-01-07,Explotación sexual,Línea 145,Sin datos,SAN LORENZO,Santa Fe,Argentina,,Protex,2017-01-08
2017-01-07,Secuestro/Venta de niños/pornografía infantil,Línea 145,Otros,SALTA,Salta,Argentina,,ufisex,2017-04-07
2017-01-07,Desaparición,Línea 145,Televisión,ROSARIO,Santa Fe,Argentina,,Protex - Fuerzas de seguridad federales,2017-01-07
2017-01-07,Explotación sexual,Línea 145,Otros,LAS HERAS ,Mendoza,Argentina,, PNA Área legal para judicializar - Fuerzas de seguridad federales,2017-01-07
2017-01-07,Explotación sexual,Línea 145,ONG – Org Nacionales,BELGRANO,Caba,Argentina,, PNA Área legal para judicializar - Fuerzas de seguridad federales,2017-01-07
2017-01-07,Oferta laboral engañosa,Línea 145,Televisión,Caba,Caba,Argentina,,,
2017-01-08,Desaparición,Línea 145,Sin datos,Caba,Caba,Argentina,,Área legal (judicializadas),2017-01-09
